Sample Number,Label,Text
40104,3,"Wanna pop some pills, sedate myself, and wake up tomorrow."
40105,3,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad
40106,3,"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged"
40107,3,Don't wanna go to work but I want the money #sad
40108,3,Wow the #Denver housing market is #depressing no places to buy in my range ðŸ˜¢ #FML
40109,3,one ep of despair arc made me happy but and then i'm going back to future arc and i'm upset again.
40110,3,I have not nap for 3 days in a row I'm very unhappy rn
40111,3,@megalvz literally was gloomy for an hour
40112,3,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn"
40113,3,"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL"
40114,3,@TootingCommon stop!!! Don't make me laugh when I'm being sad.
40115,3,Condolences to the  JC and the Georges family.. 
40116,3,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy"
40117,3,Literally being here makes me depress tbh
40118,3,@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad
40119,3,"This room is rather dreary, but we endure what we must."
40120,3,where broken hearted lovers do cry away their gloom
40121,3,Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans
40122,3,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness
40123,3,@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness
40124,3,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?
40125,3,I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol
40126,3,#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me
40127,3,Smokeys dad is sad :/
40128,3,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control."
40129,3,@ryyyshh story of my life. #lost
40130,3,When will the weeks full of Mondays end?? #disheartened
40131,3,@HannahFJames I'm distraught! ðŸ˜­ Candice and her pout can piss off
40132,3,@HutchinsonDave I don't know whether to despair or agitate for a cull.
40133,3,Can I just sulk in peace ðŸ˜‚
40134,3,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld
40135,3,MY CAR IS DENTED FROM THE HAIL sad
40136,3,From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding
40137,3,@WilsonsWorld I was in high school and remember helping neighbors clean up back home in Greenville.  Pretty sobering stuff.  #sadness
40138,3,I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy
40139,3,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced
40140,3,"I forgot my hair straightner home, I'm feeling lost without it... #lost #lostWithoutMyHairStraightener"
40141,3,And I won't even get started with Hillary and her fancy fundraisers! #depressing
40142,3,The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim
40143,3,When will the weeks full of Mondays end?? 
40144,3,@Samkingftw ew omg that is so grim
40145,3,@thatsabingo grim really
40146,3,With loyal heart is concerned. #somber
40147,3,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam
40148,3,@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.
40149,3,"If you find me lost, will you stay as a passerby or will you get lost with me? #musings #melancholy"
40150,3,I'm getting use to not having a phone it's sad ..
40151,3,"I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit"
40152,3,Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore
40153,3,@JUSTICESLUT420 sadly this sort of poster died by the 90s afaik
40154,3,@lucy_hyner @Soulboy2266 sadly not !! One less hour drinking time ðŸ˜¢ðŸ»
40155,3,I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :')
40156,3,Mixed emotions. #sadness #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complications
40157,3,"@Jay_2752 thank you, I shall mourn her"
40158,3,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college
40159,3,"@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'"
40160,3,"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness"
40161,3,Man Southampton will wipe the floor with  west ham on Sunday. So disheartened
40162,3,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless
40163,3,Hate knowing I have to get up at half 5 for gym in the morning it's so depressing
40164,3,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy
40165,3,Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC
40166,3,Can we go back 2 weeks and start again ?? This is seriously dreadful
40167,3,I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18
40168,3,I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse
40169,3,"@midnight #EndTrumpweek please, it's #depressing me."
40170,3,@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat
40171,3,@gagasklaine it's old sadly
40172,3,@TDYLN sadly not :(
40173,3,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad"
40174,3,@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing
40175,3,It's way too hard not to get discouraged.
40176,3,as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging
40177,3,I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression
40178,3,@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy
40179,3,Even a pencilâœ never #stayed  with me until it's #end âš« ðŸ˜ž
40180,3,so gutted i dropped one of my earrings down the sink at school
40181,3,Having holiday blues! #WantToGoBackToMinehead.
40182,3,I'd rather die alone then end up with somebody who can't be sober
40183,3,I don't think it's fully sunk in that Val is gone yet
40184,3,Hate being sober so I popped two
40185,3,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair"
40186,3,"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant"
40187,3,"@X_KIMTAEHYUNG_X \nâ€” momentarily before it disappeared, only solemnity and anxiety lacing his features. \n\n'I ran out to get you before â€”"
40188,3,All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness
40189,3,The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing ðŸ™„ðŸ™„
40190,3,Liam is too distant makes me mourn ðŸ˜ª
40191,3,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable 
40192,3,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.
40193,3,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad
40194,3,Life is too short so dont shoot it in with worries sadness and grief.
40195,3,Brb going to sulk in bed until Friday
40196,3,"@LVLMLeah Nooooooooooooooooooooo. We have stupid, dismal, lame winters where we maybe get some dangerous ice once."
40197,3,#RIPKara i could have seen her at a local mall or any school football games. im disheartened
40198,3,@RossKemp great programme tonight #sad #upsetting #extremeworld
40199,3,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr
40200,3,"But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick"
40201,3,Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @LBC
40202,3,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged
40203,3,@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness
40204,3,"If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo."
40205,3,@laureeenwillam can't cope wi her sour face and tiny pout ðŸ˜¡ðŸ˜¡
40206,3,"There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released..."
40207,3,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam
40208,3,"@happyandbashful Flirt, simper, pout, repeat. Yuck."
40209,3,@el_tityboi bc it's a gloomy day Tony
40210,3,@rupindxr my heart actually sunk looooool I was so confused
40211,3,@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost
40212,3,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.
40213,3,I wonder what would happen if I were a father. #weary
40214,3,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall
40215,3,@MxJackMonroe I couldn't get on with it either. Bits started drooping that shouldn't droop. GP said mooncup alone to blame.
40216,3,@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly
40217,3,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober
40218,3,When you have 15 doe run the opposite side of you ðŸ™ 
40219,3,"@Theshadeshit91 \nOh, I'm sorry about it, do not be sad yourself there is nothing important in the world to grieve about it"
40220,3,"Because of 'failure of delivery on time', a customer has to pay 16K rupees more! - Not good @tiagotatamotors @TataMotors #unhappy"
40221,3,@everton_de_leon @sterushton Genuinely grim stuff. Over a century of history sold off by some porn baron twats for a minty new stadium. Urgh
40222,3,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld
40223,3,"@CCTakato at least in crystal every part of it is portrayed as being WRONG, the dark atmosphere, the fact that mamoru is brainwashed"
40224,3,"Way too cool to die young, way too young to die sober.. #tunechi"
40225,3,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy
40226,3,I have no clue where my charger is... #lost
40227,3,@JohnRMoffitt This is the most grim piece of laughter I was stricken with all day.
40228,3,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness
40229,3,"Having a nail half hanging off is absolutely fucking grim, even with my acrylic holding it on ðŸ˜·ðŸ˜·"
40230,3,Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart
40231,3,@deshbhakthoon always unhappy and easily offended.
40232,3,What a sad day...1st day of Fall...I don't dislike Fall...I just LOVE Summer #FirstDayofFall #goodbyesummer #sadness #bathingsuitsforever
40233,3,@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.
40234,3,Awareness of time is awareness of time lost. #awareness #time #lost
40235,3,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -
40236,3,Gonna be a loooooong year as a Browns fan. Longer than normal and that's #sad
40237,3,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed ðŸ˜¢
40238,3,"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love ðŸŽ¶"
40239,3,Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race
40240,3,@MCFCDenver doing the exact same minus the beer sadly
40241,3,i miss the guy who always make me sulk
40242,3,Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.
40243,3,Cause fail or pass I refuse to be sober
40244,3,@eehbahmum WHY?! Did they want to make you plummet in to the depths of despair??
40245,3,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain
40246,3,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.
40247,3,Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. #CPFC
40248,3,if you're unhappy with someone just fucking tell them you're unhappy and leave. Don't go fuckin around with other people on the side
40249,3,"conflicting reports on mama #RitaMarley health,mannn and i woke up today feeling like mi ole self(rejoice!!)now dis #sadness"
40250,3,How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc
40251,3,The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3
40252,3,"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp"
40253,3,@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!
40254,3,The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice
40255,3,@chocorobos I have this one so I'm not so sad.. but wtf
40256,3,Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful
40257,3,"I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :("
40258,3,"@big_SL8 Show some respect, that's all...  If u havent go to war u cant say anything.. U havent lost friends and mates on war, so Ahut it!!"
40259,3,"Had to give up on The Blue Guitar, couldn't stand main character. Sort of skim-read to the end which got grim and unsettling . . . 1/2"
40260,3,First a coat. Now a pair of sunglasses. Next it'll be a limb. #lost
40261,3,Some of these people at this protest are just there for the adrenaline rush. #depressing
40262,3,whenever i pout i just want Adrian to appear and tell me to stop pouting or else
40263,3,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla
40264,3,"Please bear with me, I'm not Twitter savvyðŸ˜ in real life I'm a Facebook person. Help me gain followers ðŸ¤“#blog #selfhelp #depression"
40265,3,she's always so insensitive whenever i grieve idgi
40266,3,@stevesingiser @POLITICO_Steve Put a damper on my mood.
40267,3,We lost
40268,3,@FantasyGuruSite I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress
40269,3,Romero is fucking dreadful like seriously my 11 month old is better than him.
40270,3,"One step forward, two steps backward, the link to RogerFedererShop doesnÂ´t work.ðŸ˜° I am losing hope about Roger Federer new Website #sadness"
40271,3,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr
40272,3,"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. #sad"
40273,3,@DoubleEph sadly his best days are behind him
40274,3,"@groovydadad @MHChat ðŸ™‚ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that #mhchat"
40275,3,Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression #anxiety #intuition #meditation #book
40276,3,@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer
40277,3,@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)
40278,3,"stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6ðŸ™„ðŸ™„ðŸ™„ðŸ™„ FML"
40279,3,@Ashleyavitia_ don't leave me 
40280,3,"@PaulJonMilne too grim, too insanely, determined to hurt you from"
40281,3,"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly."
40282,3,@keyshamackie it's fucking dreadful for live footy matches
40283,3,"Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick"
40284,3,you never call me when your sober
40285,3,come on let's make em hate ðŸ˜˜make em pout they face ðŸ‘¿ðŸ˜©.
40286,3,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.
40287,3,Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.
40288,3,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. 
40289,3,Dylon felt dejected. He has a dejected aunt!
40290,3,"Two blankets, a hoody, and still no Eternal Sunshine to mope to."
40291,3,Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious
40292,3,Nature looks a lot greener on gloomy dayz
40293,3,@JamesWickham Congratulations!  My top home-owning tip: try not to look at your mortgage balance too often.  The slowness will depress you.
40294,3,The new lock sound is grim
40295,3,Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss
40296,3,@khloe_speaks sad music
40297,3,Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO
40298,3,"3 weeks into the course and have had the kitchen sink thrown at me, I m still pulling knives and forks out of my ears"
40299,3,Gaaaaaaaad! Should have stayed in London!
40300,3,"@marksandspencer Where has your 50% grapefruit squash gone,not been able to get for weeks #unhappy"
40301,3,I mourn the creativity lost.
40302,3,"@Jinath_Hyder I can't have alcohol on it, sadly, but it only flares up under very specific circumstances so I just need to be more careful"
40303,3,Add Donte Moncrief to my dismal situation #blessed.
40304,3,Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim
40305,3,U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive
40306,3,@TxDMV @ArkansasBBB i filled out the report on #baitswitch by @Carvana lets go get them fines levied. #badbusiness #honoryourdeal #unhappy
40307,3,Itching something #serious RN haven't slept but considering taking like 6 Benadryl for a 20 min nap I am itching SO BADLY wow
40308,3,@TVsCarlKinsella They're such garbage. Obviously I like that they suck but it's still grim to watch.
40309,3,"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway."
40310,3,Angry shouting match between a #pessimist &amp; an #optimist:\n'You're a half empty-headed @%$!' \n'You're half full of @%$!'
40311,3,*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline
40312,3,"@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)"
40313,3,How do u grieve someone who legally wasn't a person yet?
40314,3,It's so gloomy outside. I wish it was as cold as it looked
40315,3,@British_Airways #lost #bag #stillwaiting go home in2days. DM'd you my info and have rung 9times a day. What more can I do? #wheresmybag
40316,3,"When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness"
40317,3,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©
40318,3,Trying to take what's lost and broken and make it right
40319,3,@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy
40320,3,It's become a verb. 'I'm gonna VillaseÃ±or all those old contacts I don't need anymore.' #sadness @melissavcomedy #waitingforexplanation
40321,3,@HillaryClinton @TheDemocrats It's ok 2 be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS
40322,3,5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day
40323,3,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n #TerranceCrutcher #truth 
40324,3,"@narcissusheiyan  maybe it'd have been different if I stayed for sixth form? But still, the oppressive architecture, uninteresting people"
40325,3,@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth #sad
40326,3,"What's good is that we already hit rock bottom, even though I'm about two more seasons away from new depths of despair. #playoffs? #NJDevils"
40327,3,"Absolutely can not believe the generosity pouring out for us, but Id give everything I have for Nick to be healthy and happy. #lost"
40328,3,i got his bitch depress
40329,3,@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful
